Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As,Winner
"01.10.2022, 14:45",AZS Olsztyn,ZAKSA Kędzierzyn-Koźle,1,3,60.0,17.0,11.0,79.0,18,6.0,-13%,85.0,10.0,51%,25%,100,7.0,14.0,47.0,47%,26%,7.0,11,69,30,38,96,11,10,2%,61,6,45%,26%,88,7,7,45,51%,35%,14,11,1
"30.09.2022, 17:30",Jastrzębski Węgiel,GKS Katowice,3,0,51.0,17.0,27.0,77.0,15,4.0,-7%,54.0,4.0,55%,16%,88,4.0,1.0,43.0,48%,43%,4.0,8,48,16,16,70,16,4,-11%,62,4,50%,20%,91,8,4,43,47%,34%,1,17,0
"01.10.2022, 20:30",LUK  Lublin,Czarni Radom,2,3,76.0,23.0,35.0,109.0,16,3.0,-9%,85.0,9.0,49%,21%,115,6.0,10.0,63.0,54%,40%,10.0,9,82,23,40,104,19,9,-5%,93,3,47%,18%,128,10,10,63,49%,33%,10,13,1
"02.10.2022, 14:45",Warta Zawiercie,PGE Skra Bełchatów,3,2,66.0,16.0,22.0,98.0,21,5.0,-16%,80.0,8.0,35%,12%,92,8.0,7.0,52.0,56%,40%,9.0,11,71,21,25,103,23,8,-8%,77,5,32%,9%,102,9,9,56,54%,37%,7,14,0
"03.10.2022, 17:30",BBTS Bielsko-Biała,Cuprum Lubin,1,3,63.0,22.0,17.0,100.0,19,7.0,-7%,77.0,12.0,40%,23%,97,5.0,10.0,48.0,49%,34%,8.0,10,80,30,32,103,26,12,-8%,81,7,45%,22%,109,7,8,58,53%,39%,10,10,1
"02.10.2022, 20:30",Stal Nysa,Ślepsk Malow Suwałki,3,1,68.0,23.0,29.0,100.0,22,7.0,-12%,74.0,8.0,31%,10%,105,5.0,4.0,56.0,53%,44%,5.0,9,62,19,21,93,19,8,-7%,78,7,42%,14%,102,10,5,50,49%,34%,4,2,0
"02.10.2022, 17:30",Trefl Gdańsk,Barkom Każany Lwów,3,0,59.0,22.0,33.0,73.0,16,6.0,-6%,47.0,0.0,46%,21%,83,2.0,8.0,50.0,60%,48%,3.0,10,38,8,14,58,11,0,-17%,57,6,36%,17%,71,4,3,30,42%,32%,8,5,0
"01.10.2022, 17:30",Asseco Resovia,Projekt Warszawa,3,0,52.0,23.0,25.0,74.0,14,6.0,-8%,40.0,1.0,50%,22%,69,7.0,5.0,36.0,52%,34%,10.0,8,32,3,-4,54,14,1,-20%,60,6,36%,18%,75,6,10,26,34%,13%,5,5,0
"04.10.2022, 16:30",GKS Katowice,Projekt Warszawa,3,1,67.0,26.0,30.0,94.0,18,8.0,-6%,67.0,4.0,44%,25%,105,7.0,8.0,54.0,51%,37%,5.0,18,55,17,15,83,16,4,-6%,76,8,47%,26%,95,11,5,43,45%,28%,8,11,0
"05.10.2022, 18:45",Barkom Każany Lwów,Asseco Resovia,0,3,40.0,15.0,9.0,60.0,11,4.0,-1%,59.0,6.0,28%,10%,71,8.0,6.0,33.0,46%,26%,3.0,6,52,20,28,73,14,6,-6%,49,4,38%,24%,62,3,3,40,64%,54%,6,4,1
"06.10.2022, 21:00",Ślepsk Malow Suwałki,Trefl Gdańsk,3,1,68.0,15.0,32.0,99.0,19,2.0,-14%,83.0,5.0,48%,20%,111,3.0,9.0,54.0,48%,37%,12.0,8,78,23,35,102,19,5,-6%,79,2,64%,26%,125,10,12,64,51%,33%,9,5,0
"06.10.2022, 18:45",Cuprum Lubin,Stal Nysa,0,3,35.0,8.0,0.0,50.0,11,3.0,-16%,62.0,10.0,38%,9%,71,5.0,9.0,27.0,38%,18%,5.0,6,58,29,36,74,11,10,2%,39,3,53%,12%,66,3,5,39,59%,46%,9,9,1
"05.10.2022, 21:00",PGE Skra Bełchatów,BBTS Bielsko-Biała,3,0,52.0,18.0,36.0,74.0,7,2.0,-2%,46.0,3.0,54%,28%,69,2.0,4.0,40.0,57%,49%,10.0,6,49,11,16,59,13,3,-13%,67,2,46%,13%,88,8,10,42,47%,27%,4,6,0
"05.10.2022, 16:30",Czarni Radom,Warta Zawiercie,0,3,45.0,12.0,13.0,58.0,10,2.0,-12%,65.0,4.0,30%,15%,82,4.0,14.0,33.0,40%,18%,10.0,2,61,28,38,73,8,4,1%,48,2,50%,35%,92,3,10,43,46%,32%,14,6,1
"04.10.2022, 21:00",ZAKSA Kędzierzyn-Koźle,LUK  Lublin,3,0,59.0,23.0,37.0,73.0,9,3.0,-5%,53.0,4.0,43%,32%,76,5.0,4.0,45.0,59%,47%,11.0,7,45,12,16,61,8,4,-3%,64,3,56%,28%,88,7,11,37,42%,21%,4,3,0
"04.10.2022, 18:45",Jastrzębski Węgiel,AZS Olsztyn,3,1,73.0,27.0,28.0,102.0,20,9.0,-7%,74.0,14.0,41%,21%,95,5.0,6.0,58.0,61%,49%,6.0,12,68,24,25,94,20,14,-6%,82,9,35%,15%,90,8,6,48,53%,37%,6,9,0
"08.10.2022, 17:30",AZS Olsztyn,GKS Katowice,3,0,61.0,25.0,38.0,77.0,12,10.0,1%,56.0,6.0,44%,17%,75,4.0,1.0,43.0,57%,50%,8.0,10,47,14,13,67,11,6,-4%,65,10,35%,15%,80,5,8,40,50%,33%,1,5,0
"07.10.2022, 20:30",LUK  Lublin,Jastrzębski Węgiel,1,3,66.0,24.0,23.0,85.0,19,6.0,-10%,83.0,8.0,40%,20%,104,9.0,7.0,50.0,48%,32%,10.0,10,68,31,35,98,15,8,1%,66,6,48%,28%,97,2,10,53,54%,42%,7,14,1
"09.10.2022, 14:45",Warta Zawiercie,ZAKSA Kędzierzyn-Koźle,3,1,73.0,25.0,39.0,97.0,15,5.0,-2%,75.0,5.0,49%,16%,123,4.0,10.0,60.0,48%,37%,8.0,10,68,20,30,91,16,5,-8%,82,5,36%,14%,108,9,8,53,49%,33%,10,15,0
"10.10.2022, 17:30",BBTS Bielsko-Biała,Czarni Radom,3,2,69.0,28.0,26.0,107.0,23,7.0,-11%,77.0,6.0,41%,20%,108,8.0,6.0,48.0,44%,31%,14.0,15,69,24,16,103,26,6,-14%,84,7,41%,10%,123,6,14,57,46%,30%,6,17,0
"09.10.2022, 20:30",Stal Nysa,PGE Skra Bełchatów,2,3,69.0,31.0,25.0,99.0,16,10.0,-1%,85.0,8.0,28%,14%,106,10.0,10.0,48.0,45%,26%,11.0,8,77,34,29,104,19,8,-5%,83,10,42%,22%,111,8,11,59,53%,36%,10,10,1
"11.10.2022, 17:30",Trefl Gdańsk,Cuprum Lubin,3,0,53.0,24.0,27.0,73.0,12,10.0,2%,47.0,8.0,57%,19%,64,2.0,4.0,38.0,59%,50%,5.0,6,41,14,8,58,11,8,-3%,61,10,32%,9%,71,7,5,29,40%,23%,4,9,0
"09.10.2022, 17:30",Asseco Resovia,Ślepsk Malow Suwałki,3,1,75.0,29.0,45.0,101.0,19,11.0,-2%,67.0,4.0,47%,25%,94,6.0,1.0,50.0,53%,45%,14.0,13,58,14,8,85,18,4,-12%,82,11,41%,21%,117,7,14,53,45%,27%,1,11,0
"08.10.2022, 14:45",Projekt Warszawa,Barkom Każany Lwów,3,2,74.0,36.0,26.0,104.0,19,7.0,-1%,76.0,8.0,40%,14%,116,9.0,12.0,54.0,46%,28%,13.0,10,65,30,19,94,18,8,-6%,85,7,35%,14%,103,8,13,45,43%,23%,12,14,0
